Detector,Matched-burden Timely@K [95% interval],Matched-burden contract pass [95% interval],All-trial contract pass [95% interval],Joint coverage [95% interval],Clean-replay TIW [95% interval],Corrupted-replay TIW [95% interval],Incident-window CAD [95% interval],False-alert events/year [95% interval]
CUSUM Factor LRT,"0.649 [0.539, 0.753]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.417 [0.400, 0.434]","0.417 [0.400, 0.433]","0.011 [0.002, 0.021]","1.163 [1.134, 1.190]"
Fused Fisher,"0.221 [0.132, 0.316]","0.221 [0.132, 0.316]","0.250 [0.163, 0.350]","0.450 [0.338, 0.563]","0.156 [0.149, 0.162]","0.152 [0.146, 0.157]","0.050 [0.032, 0.069]","0.908 [0.872, 0.947]"
