panel,detector,budget,max_events_ratio,max_tiw_ratio,frac_violate_events,frac_violate_tiw,pass_rate,frac_violate_any,n_windows
all_only,T2,1.0,1.3333333333333333,0.29914529914529914,0.19047619047619047,0.0,0.8095238095238095,0.19047619047619047,21
all_only,T2,2.0,0.8333333333333334,0.5128205128205129,0.0,0.0,1.0,0.0,21
all_only,cusum_factor_cov_lrt,1.0,0.0,0.0,0.0,0.0,1.0,0.0,21
all_only,cusum_factor_cov_lrt,2.0,0.0,0.0,0.0,0.0,1.0,0.0,21
all_only,ewma_factor_cov_lrt,1.0,1.6666666666666667,0.38461538461538464,0.14285714285714285,0.0,0.8571428571428571,0.14285714285714285,21
all_only,ewma_factor_cov_lrt,2.0,1.0,1.3675213675213675,0.0,0.19047619047619047,0.8095238095238095,0.19047619047619047,21
all_only,factor_cov_change,1.0,1.3333333333333333,0.8974358974358975,0.38095238095238093,0.0,0.6190476190476191,0.38095238095238093,21
all_only,factor_cov_change,2.0,1.0,1.4957264957264957,0.0,0.5714285714285714,0.42857142857142855,0.5714285714285714,21
all_only,factor_cov_delta,1.0,1.6666666666666667,0.8974358974358975,0.14285714285714285,0.0,0.8571428571428571,0.14285714285714285,21
all_only,factor_cov_delta,2.0,1.0,1.4529914529914532,0.0,0.19047619047619047,0.8095238095238095,0.19047619047619047,21
all_only,factor_cov_lrt,1.0,1.3333333333333333,1.3247863247863247,0.2857142857142857,0.09523809523809523,0.7142857142857143,0.2857142857142857,21
all_only,factor_cov_lrt,2.0,0.8333333333333334,1.4529914529914532,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,21
all_only,factor_cov_lrt_delta,1.0,1.6666666666666667,0.29914529914529914,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,21
all_only,factor_cov_lrt_delta,2.0,0.8333333333333334,1.5384615384615385,0.0,0.38095238095238093,0.6190476190476191,0.38095238095238093,21
all_only,fused_fisher,1.0,1.6666666666666667,0.42735042735042733,0.2857142857142857,0.0,0.7142857142857143,0.2857142857142857,21
all_only,fused_fisher,2.0,0.8333333333333334,1.3675213675213675,0.0,0.5714285714285714,0.42857142857142855,0.5714285714285714,21
