kind,panel,detector,budget,attack_strength,matched_mode,matched_budget_band,matched_tol_budget,tiw_cap,matched_tol_tiw,n_trials_total,n_trials_budget,n_trials_joint,n_trials_primary,coverage_budget,coverage_joint,coverage_primary,fae_null_mean_primary,tiw_null_mean_primary,false_alert_events_count_mean_primary,detect_rate,detect_rate_null,uplift_detect_rate,event_success_rate,event_timely_sla_rate,event_anywarn_success_rate,event_anywarn_timely_sla_rate,event_preexisting_warning_rate,contract_pass_full_rate,contract_pass_full_anywarn_rate,event_sla_months,median_delay,median_delay_null,delay_p50,delay_p90,delay_null_p50,delay_null_p90,event_delay_p50,event_delay_p90,event_time_to_trigger_p50,event_time_to_trigger_p90,median_delay_uncens,median_delay_null_uncens,mean_false_alarm_months_per_year,mean_false_alert_events_per_year,mean_time_in_warning,mean_p_star,mean_effect_size,mean_fae_null,mean_tiw_null,mean_cad_win,mean_cad_post,mean_dtiw_win,mean_abs_dtiw_win,mean_dtiw_post,row_status,infeasible_reason
gradual_bias,full,T2,INFEASIBLE,1.0,budget_only,count,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,no_trials_in_band
gradual_bias,full,cusum_factor_cov_lrt,1.0,0.25,budget_only,count,0.1,0.15,0.1,30,4,4,4,0.13333333333333333,0.13333333333333333,0.13333333333333333,1.076158940397351,0.020695364238410598,25.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26.0,24.5,26.0,26.0,24.5,26.0,26.0,26.0,26.0,26.0,NA,21.5,1.076158940397351,1.076158940397351,0.020695364238410598,NA,-0.21506963679935598,1.076158940397351,0.020695364238410598,0.019230769230769232,0.0,-0.019230769230769232,0.019230769230769232,0.0,OK,
gradual_bias,full,cusum_factor_cov_lrt,1.0,0.5,budget_only,count,0.1,0.15,0.1,30,4,4,4,0.13333333333333333,0.13333333333333333,0.13333333333333333,1.076158940397351,0.020695364238410598,25.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26.0,24.5,26.0,26.0,24.5,26.0,26.0,26.0,26.0,26.0,NA,21.5,1.076158940397351,1.076158940397351,0.020695364238410598,NA,-0.19320281641307555,1.076158940397351,0.020695364238410598,0.019230769230769232,0.0,-0.019230769230769232,0.019230769230769232,0.0,OK,
gradual_bias,full,cusum_factor_cov_lrt,1.0,0.75,budget_only,count,0.1,0.15,0.1,30,4,4,4,0.13333333333333333,0.13333333333333333,0.13333333333333333,1.076158940397351,0.020695364238410598,25.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26.0,24.5,26.0,26.0,24.5,26.0,26.0,26.0,26.0,26.0,NA,21.5,1.076158940397351,1.076158940397351,0.020695364238410598,NA,-0.22685975174719497,1.076158940397351,0.020695364238410598,0.019230769230769232,0.0,-0.019230769230769232,0.019230769230769232,0.0,OK,
gradual_bias,full,cusum_factor_cov_lrt,1.0,1.0,budget_only,count,0.1,0.15,0.1,30,4,4,4,0.13333333333333333,0.13333333333333333,0.13333333333333333,1.076158940397351,0.020695364238410598,25.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26.0,24.5,26.0,26.0,24.5,26.0,26.0,26.0,26.0,26.0,NA,21.5,1.076158940397351,1.076158940397351,0.020695364238410598,NA,-0.18209288803215157,1.076158940397351,0.020695364238410598,0.019230769230769232,0.0,-0.019230769230769232,0.019230769230769232,0.0,OK,
gradual_bias,full,cusum_factor_cov_lrt,INFEASIBLE,0.25,budget_only,count,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,no_trials_in_band
gradual_bias,full,cusum_factor_cov_lrt,INFEASIBLE,0.5,budget_only,count,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,no_trials_in_band
gradual_bias,full,cusum_factor_cov_lrt,INFEASIBLE,0.75,budget_only,count,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,no_trials_in_band
gradual_bias,full,cusum_factor_cov_lrt,INFEASIBLE,1.0,budget_only,count,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,no_trials_in_band
gradual_bias,full,ewma_factor_cov_lrt,1.0,0.25,budget_only,count,0.1,0.15,0.1,30,30,30,30,1.0,1.0,1.0,0.9642384105960267,0.04594370860927153,22.4,0.26666666666666666,0.6,-0.3333333333333333,0.3,0.06666666666666667,0.3,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.06666666666666667,4.0,26.0,20.0,26.0,26.0,20.0,26.0,26.0,26.0,26.0,26.0,12.0,12.0,2.406291390728477,0.9685430463576161,0.04627483443708608,0.058733433236895574,0.1696322362079436,0.9642384105960267,0.04594370860927153,0.03205128205128205,0.02222222222222222,-0.01923076923076923,0.03205128205128205,-0.02222222222222222,OK,
