analysis_id,menu,n_configurations,interpretation,R_total,median_budget_coverage,median_budget_coverage_lower_2_5,median_budget_coverage_upper_97_5,median_joint_coverage,median_joint_coverage_lower_2_5,median_joint_coverage_upper_97_5,absolute_drop_budget_minus_joint,absolute_drop_budget_minus_joint_lower_2_5,absolute_drop_budget_minus_joint_upper_97_5
full_menu,full_fixed_19,19,Primary fixed detector menu; zeros retained.,5000,0.6875,0.575,0.7625,0.0,0.0,0.0,0.6875,0.575,0.7625
positive_budget_menu,fixed_observed_positive_budget_12,12,Conditional mechanism menu fixed from observed canonical positive-budget point estimates.,5000,0.84375,0.8,0.8875,0.025,0.0,0.0625,0.81875,0.7625,0.86875
