menu,n_configurations,median_budget_coverage,median_joint_coverage,median_absolute_drop_budget_minus_joint,interpretation
full_fixed_19,19,0.6875,0.0,0.6875,Median over all 19 detector configurations.
fixed_observed_positive_budget_12,12,0.84375,0.025,0.81875,Median over the 12 detector configurations with positive budget coverage in the canonical analysis.
