run,dataset,kind,naive_detector,naive_MB_timely,naive_MB_contract_pass,naive_n_A_B,best_matched_compliant_detector,compliant_MB_timely,compliant_MB_contract_pass,compliant_all_trial_contract_pass,compliant_n_A_B,compliant_n_A_J,compliant_mean_clean_TIW,compliant_mean_corrupted_TIW,compliant_CAD
cfpb_online_recal1_seed0,CFPB,corr_mix,cusum_factor_cov_lrt,0.6493506493506493,0.0,77,factor_cov_lrt_delta,0.2564102564102564,0.2564102564102564,0.275,78,39,0.15694076038903623,0.15782493368700265,0.0
cfpb_online_recal1_seed0,CFPB,freeze,cusum_factor_cov_lrt,0.8831168831168831,0.0,77,fused_fisher,0.44155844155844154,0.33766233766233766,0.3375,77,36,0.15584415584415584,0.15539632781012092,0.1753246753246753
smap_A1_weekly_ledger_seed0,SMAP A-1,corr_mix,stale,0.5666666666666667,0.0,30,cusum_coh_resid_t2,0.5,0.5,0.3,12,12,0.02207505518763797,0.02207505518763797,0.04487179487179487
smap_A1_weekly_ledger_seed0,SMAP A-1,freeze,stale,0.5666666666666667,0.0,30,cusum_coh_resid_t2,0.5,0.5,0.3,12,12,0.02207505518763797,0.021868101545253867,0.1955128205128205
smap_D15_weekly_ledger_seed0,SMAP D-15,corr_mix,stale,1.0,0.0,1,ewma_coh_resid_t2,0.8181818181818182,0.8181818181818182,0.8666666666666667,22,22,0.024822695035460987,0.015473887814313353,0.1398601398601399
smap_D15_weekly_ledger_seed0,SMAP D-15,freeze,stale,1.0,0.0,1,factor_cov_lrt,0.75,0.75,0.8333333333333334,20,20,0.017553191489361707,0.014539007092198583,0.075
cfpb_gradual_bias_seed0,CFPB,gradual_bias,cusum_factor_cov_lrt,0.6493506493506493,0.0,77,fused_fisher,0.22077922077922077,0.22077922077922077,0.25,77,36,0.15584415584415584,0.15158978952082397,0.04978354978354978
smap_A1_gradual_bias_seed0,SMAP A-1,gradual_bias,stale,0.5666666666666667,0.0,30,cusum_coh_resid_t2,0.4166666666666667,0.4166666666666667,0.2,12,12,0.02207505518763797,0.02207505518763797,0.0
smap_D15_gradual_bias_seed0,SMAP D-15,gradual_bias,stale,1.0,0.0,1,cusum_factor_cov_lrt,0.3333333333333333,0.2777777777777778,0.16666666666666666,18,18,0.017336485421591802,0.017730496453900707,0.03632478632478633
