detector,base_trial,incident_start,incident_end,cad_win,event_success,category
T2,77,2024-08-01,2025-01-01,0.0,0,no_alert_stream_change
T2,78,2022-08-01,2023-01-01,0.16666666666666666,0,silent_suppression
T2,79,2021-10-01,2022-03-01,0.0,0,no_alert_stream_change
coh_resid_energy,0,2024-03-01,2024-08-01,0.3333333333333333,1,changed_with_warning_overlap
coh_resid_energy,1,2023-02-01,2023-07-01,0.0,0,no_alert_stream_change
coh_resid_energy,2,2022-07-01,2022-12-01,0.0,1,no_alert_stream_change
coh_resid_energy,3,2021-04-01,2021-09-01,0.3333333333333333,1,changed_with_warning_overlap
coh_resid_energy,4,2021-07-01,2021-12-01,0.6666666666666666,1,changed_with_warning_overlap
coh_resid_energy,5,2020-03-01,2020-08-01,0.0,1,no_alert_stream_change
coh_resid_energy,6,2020-05-01,2020-10-01,0.0,1,no_alert_stream_change
coh_resid_energy,7,2020-01-01,2020-06-01,0.16666666666666666,1,changed_with_warning_overlap
coh_resid_energy,8,2020-11-01,2021-04-01,0.5,1,changed_with_warning_overlap
coh_resid_energy,9,2023-12-01,2024-05-01,0.5,1,changed_with_warning_overlap
coh_resid_energy,10,2023-03-01,2023-08-01,0.0,0,no_alert_stream_change
coh_resid_energy,11,2024-06-01,2024-11-01,0.8333333333333334,1,changed_with_warning_overlap
coh_resid_energy,12,2022-06-01,2022-11-01,0.0,1,no_alert_stream_change
coh_resid_energy,13,2022-12-01,2023-05-01,0.5,1,changed_with_warning_overlap
coh_resid_energy,14,2024-10-01,2025-03-01,0.0,0,no_alert_stream_change
coh_resid_energy,15,2023-08-01,2024-01-01,0.16666666666666666,1,changed_with_warning_overlap
coh_resid_energy,16,2023-02-01,2023-07-01,0.0,0,no_alert_stream_change
coh_resid_energy,17,2022-09-01,2023-02-01,0.0,1,no_alert_stream_change
coh_resid_energy,18,2022-10-01,2023-03-01,0.0,1,no_alert_stream_change
coh_resid_energy,19,2024-08-01,2025-01-01,0.3333333333333333,1,changed_with_warning_overlap
coh_resid_energy,20,2021-05-01,2021-10-01,0.6666666666666666,1,changed_with_warning_overlap
coh_resid_energy,21,2024-01-01,2024-06-01,0.3333333333333333,1,changed_with_warning_overlap
coh_resid_energy,22,2023-04-01,2023-09-01,0.0,0,no_alert_stream_change
coh_resid_energy,23,2020-01-01,2020-06-01,0.16666666666666666,1,changed_with_warning_overlap
coh_resid_energy,24,2021-12-01,2022-05-01,0.5,1,changed_with_warning_overlap
coh_resid_energy,25,2024-03-01,2024-08-01,0.3333333333333333,1,changed_with_warning_overlap
coh_resid_energy,26,2022-09-01,2023-02-01,0.0,1,no_alert_stream_change
coh_resid_energy,27,2020-02-01,2020-07-01,0.0,1,no_alert_stream_change
coh_resid_energy,28,2023-10-01,2024-03-01,0.3333333333333333,1,changed_with_warning_overlap
coh_resid_energy,29,2023-08-01,2024-01-01,0.16666666666666666,1,changed_with_warning_overlap
coh_resid_energy,30,2024-02-01,2024-07-01,0.3333333333333333,1,changed_with_warning_overlap
coh_resid_energy,31,2020-11-01,2021-04-01,0.5,1,changed_with_warning_overlap
coh_resid_energy,32,2020-06-01,2020-11-01,0.0,1,no_alert_stream_change
coh_resid_energy,33,2024-03-01,2024-08-01,0.3333333333333333,1,changed_with_warning_overlap
coh_resid_energy,34,2020-02-01,2020-07-01,0.0,1,no_alert_stream_change
coh_resid_energy,35,2022-08-01,2023-01-01,0.0,1,no_alert_stream_change
coh_resid_energy,36,2020-05-01,2020-10-01,0.0,1,no_alert_stream_change
coh_resid_energy,37,2021-06-01,2021-11-01,0.6666666666666666,1,changed_with_warning_overlap
coh_resid_energy,38,2022-05-01,2022-10-01,0.16666666666666666,1,changed_with_warning_overlap
coh_resid_energy,39,2022-01-01,2022-06-01,0.5,1,changed_with_warning_overlap
coh_resid_energy,40,2021-12-01,2022-05-01,0.5,1,changed_with_warning_overlap
coh_resid_energy,41,2020-02-01,2020-07-01,0.0,1,no_alert_stream_change
coh_resid_energy,42,2020-01-01,2020-06-01,0.16666666666666666,1,changed_with_warning_overlap
coh_resid_energy,43,2020-08-01,2021-01-01,0.0,1,no_alert_stream_change
