selection_role,display_row,detector,n_total,n_A_B,n_A_J,R_total,R_valid,matched_burden_timely_at_k_point,matched_burden_timely_at_k_lower_2_5,matched_burden_timely_at_k_upper_97_5,matched_burden_timely_at_k_formatted,matched_burden_contract_pass_rate_point,matched_burden_contract_pass_rate_lower_2_5,matched_burden_contract_pass_rate_upper_97_5,matched_burden_contract_pass_rate_formatted,all_trial_contract_pass_rate_point,all_trial_contract_pass_rate_lower_2_5,all_trial_contract_pass_rate_upper_97_5,all_trial_contract_pass_rate_formatted,coverage_joint_point,coverage_joint_lower_2_5,coverage_joint_upper_97_5,coverage_joint_formatted,mean_tiw_clean_matched_point,mean_tiw_clean_matched_lower_2_5,mean_tiw_clean_matched_upper_97_5,mean_tiw_clean_matched_formatted,mean_tiw_corrupted_matched_point,mean_tiw_corrupted_matched_lower_2_5,mean_tiw_corrupted_matched_upper_97_5,mean_tiw_corrupted_matched_formatted,mean_cad_win_matched_point,mean_cad_win_matched_lower_2_5,mean_cad_win_matched_upper_97_5,mean_cad_win_matched_formatted,mean_false_alert_events_corrupted_matched_point,mean_false_alert_events_corrupted_matched_lower_2_5,mean_false_alert_events_corrupted_matched_upper_97_5,mean_false_alert_events_corrupted_matched_formatted
Naive timely row,CUSUM Factor LRT,cusum_factor_cov_lrt,80,77,0,5000,5000,0.6493506493506493,0.5394736842105263,0.7532467532467533,"0.649 [0.539, 0.753]",0.0,0.0,0.0,"0.000 [0.000, 0.000]",0.0,0.0,0.0,"0.000 [0.000, 0.000]",0.0,0.0,0.0,"0.000 [0.000, 0.000]",0.4171518137035378,0.4001320809264939,0.43356321839080464,"0.417 [0.400, 0.434]",0.4169278996865204,0.3999988656987296,0.43307622504537197,"0.417 [0.400, 0.433]",0.010822510822510822,0.0021922704488493965,0.02109704641350211,"0.011 [0.002, 0.021]",1.1634572324227495,1.1340000680245115,1.1903269144648454,"1.163 [1.134, 1.190]"
Best matched-compliant row,Fused Fisher,fused_fisher,80,77,36,5000,5000,0.22077922077922077,0.13157894736842105,0.31645569620253167,"0.221 [0.132, 0.316]",0.22077922077922077,0.13157894736842105,0.31645569620253167,"0.221 [0.132, 0.316]",0.25,0.1625,0.35,"0.250 [0.163, 0.350]",0.45,0.3375,0.5625,"0.450 [0.338, 0.563]",0.15584415584415584,0.14920402298850574,0.1617205627282961,"0.156 [0.149, 0.162]",0.15158978952082397,0.14556898252336925,0.15701149425287356,"0.152 [0.146, 0.157]",0.04978354978354978,0.03205128205128205,0.06889826839826825,"0.050 [0.032, 0.069]",0.9081952530228392,0.8717198275862069,0.9469496021220158,"0.908 [0.872, 0.947]"
