kind,panel,detector,paper_strength_policy,attack_strength_selected,attack_strength_selected_is_applicable,budget_target_paper,budget_nominal_selected,matched_mode,matched_budget_band,matched_tol_budget,tiw_cap,matched_tol_tiw,years_eval_median,target_count_nearest,count_band_width,implied_rate_nearest,n_trials_total,n_trials_budget_in_band,n_trials_joint_in_band,n_trials_primary,coverage_budget,coverage_joint,coverage_primary,primary_status,n_trials,detect_rate,detect_rate_null,uplift_detect_rate,event_success_rate,event_timely_sla_rate,event_anywarn_success_rate,event_anywarn_timely_sla_rate,event_preexisting_warning_rate,contract_pass_full_rate,contract_pass_full_anywarn_rate,event_sla_months,median_delay,median_delay_null,delay_p50,delay_p90,delay_null_p50,delay_null_p90,event_delay_p50,event_delay_p90,event_time_to_trigger_p50,event_time_to_trigger_p90,median_delay_uncens,median_delay_null_uncens,mean_false_alarm_months_per_year,mean_false_alert_events_per_year,mean_time_in_warning,mean_p_star,mean_effect_size,mean_fae_null,mean_tiw_null,mean_cad_win,mean_cad_post,mean_dtiw_win,mean_abs_dtiw_win,mean_dtiw_post,nc2_p0,p_hat,p_binom,nc2_pass,nc2_alpha
freeze,score_only,ewma_coh_resid_t2,max,1.0,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,80,0,80,1.0,0.0,1.0,OK,80.0,0.8875,0.4125,0.475,1.0,0.7625,1.0,0.7625,0.2375,0.0,0.0,1.0,1.0,6.0,1.0,6.0,6.0,6.0,0.0,2.1000000000000085,1.0,6.0,1.0,2.0,3.6310344827586207,0.7939655172413793,0.3025862068965517,0.0638057828301986,4.696122179820209,0.9646551724137933,0.34784482758620694,0.4208333333333334,0.20675105485232065,0.4208333333333334,0.4208333333333334,0.12236286919831223,0.4125,0.8875,1.0492635142669013e-18,1.0,0.05
freeze,score_only,ewma_factor_cov_lrt,max,1.0,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,0,0,0,0.0,0.0,0.0,INFEASIBLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.05
freeze,score_only,factor_cov_change,max,1.0,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,0,0,0,0.0,0.0,0.0,INFEASIBLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.05
freeze,score_only,factor_cov_delta,max,1.0,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,61,4,61,0.7625,0.05,0.7625,OK,61.0,0.04918032786885246,0.11475409836065574,-0.06557377049180328,0.16393442622950818,0.16393442622950818,0.16393442622950818,0.16393442622950818,0.11475409836065574,0.06557377049180328,0.06557377049180328,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,2.0,2.804974561899378,0.8004522328999436,0.23374788015828155,0.13817538187442768,-0.16206513198881586,0.827586206896552,0.2249858677218768,0.07650273224043715,0.14444444444444446,-0.07650273224043716,0.07650273224043716,0.1,0.11475409836065574,0.04918032786885246,0.9765989686227864,0.0,0.05
freeze,score_only,factor_cov_lrt,max,1.0,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,0,0,0,0.0,0.0,0.0,INFEASIBLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.05
freeze,score_only,factor_cov_lrt_delta,max,1.0,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,80,8,80,1.0,0.1,1.0,OK,80.0,0.0,0.475,-0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,2.0,2.6405172413793108,1.228448275862069,0.22004310344827588,0.12153618521308365,-0.7363686125402487,1.1327586206896552,0.20323275862068962,0.2020833333333333,0.44514767932489446,-0.2020833333333333,0.2020833333333333,0.44514767932489446,0.475,0.0,1.0,0.0,0.05
freeze,score_only,fused_fisher,max,1.0,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,80,7,80,1.0,0.0875,1.0,OK,80.0,0.4375,0.4625,-0.025000000000000022,0.575,0.4625,0.575,0.4625,0.1875,0.05,0.05,1.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,6.0,1.0,2.0,2.7,1.0887931034482758,0.225,0.04743598026755793,-0.021510184502976242,1.1379310344827587,0.22004310344827588,0.17708333333333331,0.21940928270042193,0.08125,0.12708333333333333,0.14345991561181434,0.4625,0.4375,0.7116612516711821,0.0,0.05
freeze,score_only,fused_fisher_lrt_delta,max,1.0,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,80,4,80,1.0,0.05,1.0,OK,80.0,0.4125,0.425,-0.012500000000000011,0.4875,0.2,0.4875,0.2,0.125,0.05,0.05,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,2.0,2.8913793103448278,0.9439655172413793,0.24094827586206896,0.05548127925356684,0.2693850683850319,0.9517241379310345,0.23771551724137932,0.14583333333333334,0.3059071729957806,0.05,0.125,0.23839662447257381,0.425,0.4125,0.6307662308286663,0.0,0.05
freeze,score_only,fused_sp,max,1.0,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,80,3,80,1.0,0.0375,1.0,OK,80.0,0.125,0.425,-0.3,0.3,0.2625,0.3,0.2625,0.175,0.0375,0.0375,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,2.5,2.8758620689655165,0.9724137931034484,0.2396551724137931,0.03680740853027897,-0.03517578044998729,0.9439655172413793,0.23793103448275862,0.10624999999999998,0.08438818565400844,-0.010416666666666661,0.07708333333333334,-0.03375527426160338,0.425,0.125,0.9999999989145659,0.0,0.05
freeze,score_only,fused_sp_lrt_delta,max,1.0,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,80,3,80,1.0,0.0375,1.0,OK,80.0,0.125,0.425,-0.3,0.2875,0.2,0.2875,0.2,0.1625,0.0375,0.0375,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.5,2.8034482758620687,0.9258620689655173,0.2336206896551724,0.030472436279847907,0.030274983738954882,0.9439655172413793,0.23793103448275862,0.1,0.20253164556962025,-0.025,0.07083333333333333,0.0590717299578059,0.425,0.125,0.9999999989145659,0.0,0.05
freeze,score_only,max_abs,max,1.0,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,80,0,80,1.0,0.0,1.0,OK,80.0,0.2125,0.4125,-0.19999999999999998,0.3,0.275,0.3,0.275,0.225,0.0,0.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,3.082758620689655,0.928448275862069,0.256896551724138,0.09699988830680331,0.49924498945083745,0.9568965517241381,0.25452586206896555,0.05,0.008438818565400843,-0.029166666666666664,0.04583333333333334,-0.008438818565400843,0.4125,0.2125,0.9999529089291532,0.0,0.05
freeze,score_only,pc_t2,max,1.0,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,58,3,58,0.725,0.0375,0.725,OK,58.0,0.06896551724137931,0.06896551724137931,0.0,0.1896551724137931,0.13793103448275862,0.1896551724137931,0.13793103448275862,0.1206896551724138,0.05172413793103448,0.05172413793103448,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.7645659928656365,0.8275862068965518,0.2303804994054697,0.04085690293468489,0.4432058377899434,0.8275862068965518,0.23127229488703924,0.028735632183908042,0.0,0.028735632183908046,0.028735632183908046,0.0,0.06896551724137931,0.06896551724137931,0.5735317465540412,0.0,0.05
freeze,score_only,res_energy,max,1.0,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,80,0,80,1.0,0.0,1.0,OK,80.0,0.0625,0.4125,-0.35,0.225,0.2,0.225,0.2,0.1625,0.0,0.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,2.0,3.0698275862068964,0.9543103448275863,0.2558189655172414,0.04798130534471118,-0.0026775773614741314,0.9465517241379311,0.2530172413793104,0.125,0.04641350210970464,-0.08333333333333333,0.1125,-0.004219409282700425,0.4125,0.0625,0.9999999999998485,0.0,0.05
freeze,score_only,stale,max,1.0,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,0,0,0,0.0,0.0,0.0,INFEASIBLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.05
