panel,detector,budget,max_events_ratio,max_tiw_ratio,frac_violate_events,frac_violate_tiw,pass_rate,frac_violate_any,n_windows
all_only,T2,0.25,4.0,3.333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,3
all_only,T2,0.5,2.0,3.333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,3
all_only,T2,0.75,1.3333333333333333,3.055555555555556,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,3
all_only,T2,1.0,1.0,3.055555555555556,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,3
all_only,T2,1.25,0.8,1.6666666666666665,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,3
all_only,T2,1.5,0.6666666666666666,1.6666666666666665,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,3
all_only,T2,2.0,0.5,1.6666666666666665,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,3
all_only,cusum_factor_cov_lrt,0.25,5.333333333333333,3.055555555555556,1.0,1.0,0.0,1.0,3
all_only,cusum_factor_cov_lrt,0.5,2.6666666666666665,3.6111111111111107,1.0,1.0,0.0,1.0,3
all_only,cusum_factor_cov_lrt,0.75,1.7777777777777777,4.722222222222221,1.0,1.0,0.0,1.0,3
all_only,cusum_factor_cov_lrt,1.0,1.3333333333333333,4.722222222222221,1.0,1.0,0.0,1.0,3
all_only,cusum_factor_cov_lrt,1.25,1.0666666666666667,4.722222222222221,0.0,1.0,0.0,1.0,3
all_only,cusum_factor_cov_lrt,1.5,0.8888888888888888,4.722222222222221,0.0,1.0,0.0,1.0,3
all_only,cusum_factor_cov_lrt,2.0,0.6666666666666666,4.722222222222221,0.0,1.0,0.0,1.0,3
all_only,ewma_factor_cov_lrt,0.25,1.3333333333333333,1.111111111111111,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
all_only,ewma_factor_cov_lrt,0.5,0.6666666666666666,1.111111111111111,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
all_only,ewma_factor_cov_lrt,0.75,0.4444444444444444,1.6666666666666665,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
all_only,ewma_factor_cov_lrt,1.0,0.3333333333333333,1.6666666666666665,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
all_only,ewma_factor_cov_lrt,1.25,0.26666666666666666,1.6666666666666665,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
all_only,ewma_factor_cov_lrt,1.5,0.2222222222222222,1.6666666666666665,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
