panel,detector,budget,max_events_ratio,max_tiw_ratio,frac_violate_events,frac_violate_tiw,pass_rate,frac_violate_any,n_windows
all_only,T2,1.0,1.0,2.4074074074074074,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,3
all_only,cusum_factor_cov_lrt,1.0,1.3333333333333333,3.1481481481481484,1.0,1.0,0.0,1.0,3
all_only,ewma_factor_cov_lrt,1.0,0.3333333333333333,1.1111111111111112,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
all_only,factor_cov_change,1.0,1.0,2.777777777777778,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
all_only,factor_cov_delta,1.0,1.0,2.4074074074074074,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
all_only,factor_cov_lrt,1.0,0.3333333333333333,0.925925925925926,0.0,0.0,1.0,0.0,3
all_only,factor_cov_lrt_delta,1.0,1.0,1.2962962962962963,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,3
all_only,fused_fisher,1.0,1.0,2.037037037037037,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,3
all_only,fused_fisher_lrt_delta,1.0,1.0,2.2222222222222223,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,3
all_only,fused_sp,1.0,1.0,2.2222222222222223,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
all_only,fused_sp_lrt_delta,1.0,0.6666666666666666,1.851851851851852,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,3
all_only,max_abs,1.0,1.0,2.4074074074074074,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
all_only,pc_t2,1.0,1.6666666666666667,2.2222222222222223,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
all_only,res_energy,1.0,1.0,2.4074074074074074,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,3
all_only,stale,1.0,0.6666666666666666,0.37037037037037035,0.0,0.0,1.0,0.0,3
full,T2,1.0,1.6666666666666667,2.777777777777778,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
full,cusum_factor_cov_lrt,1.0,1.3333333333333333,2.5925925925925926,0.3333333333333333,1.0,0.0,1.0,3
full,ewma_factor_cov_lrt,1.0,0.6666666666666666,2.037037037037037,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
full,factor_cov_change,1.0,0.6666666666666666,2.2222222222222223,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
full,factor_cov_delta,1.0,1.0,2.4074074074074074,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
full,factor_cov_lrt,1.0,1.0,1.4814814814814814,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
full,factor_cov_lrt_delta,1.0,2.3333333333333335,1.2962962962962963,1.0,0.6666666666666666,0.0,1.0,3
full,fused_fisher,1.0,1.0,2.2222222222222223,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,3
