kind,panel,detector,budget_target,monotone_focus_metric,monotone_pass
corr_mix,all_only,T2,1.0,event_timely_sla_rate,1
corr_mix,all_only,T2,1.25,event_timely_sla_rate,1
corr_mix,all_only,T2,1.5,event_timely_sla_rate,1
corr_mix,all_only,cusum_factor_cov_lrt,0.25,event_timely_sla_rate,1
corr_mix,all_only,cusum_factor_cov_lrt,0.5,event_timely_sla_rate,1
corr_mix,all_only,cusum_factor_cov_lrt,0.75,event_timely_sla_rate,1
corr_mix,all_only,cusum_factor_cov_lrt,1.0,event_timely_sla_rate,1
corr_mix,all_only,cusum_factor_cov_lrt,1.25,event_timely_sla_rate,1
corr_mix,all_only,ewma_factor_cov_lrt,0.25,event_timely_sla_rate,1
corr_mix,all_only,ewma_factor_cov_lrt,0.5,event_timely_sla_rate,1
corr_mix,all_only,factor_cov_change,1.0,event_timely_sla_rate,1
corr_mix,all_only,factor_cov_change,1.25,event_timely_sla_rate,1
corr_mix,all_only,factor_cov_change,1.5,event_timely_sla_rate,1
corr_mix,all_only,factor_cov_delta,1.5,event_timely_sla_rate,1
corr_mix,all_only,factor_cov_delta,2.0,event_timely_sla_rate,1
corr_mix,all_only,factor_cov_lrt,0.25,event_timely_sla_rate,1
corr_mix,all_only,factor_cov_lrt,0.5,event_timely_sla_rate,1
corr_mix,all_only,factor_cov_lrt,1.0,event_timely_sla_rate,1
corr_mix,all_only,factor_cov_lrt_delta,0.25,event_timely_sla_rate,1
corr_mix,all_only,factor_cov_lrt_delta,0.75,event_timely_sla_rate,1
corr_mix,all_only,factor_cov_lrt_delta,1.5,event_timely_sla_rate,1
corr_mix,all_only,fused_fisher,0.5,event_timely_sla_rate,1
corr_mix,all_only,fused_fisher,0.75,event_timely_sla_rate,1
corr_mix,all_only,fused_fisher,1.0,event_timely_sla_rate,1
corr_mix,all_only,fused_fisher,1.25,event_timely_sla_rate,1
corr_mix,all_only,fused_fisher,1.5,event_timely_sla_rate,1
corr_mix,all_only,fused_fisher_lrt_delta,0.25,event_timely_sla_rate,1
corr_mix,all_only,fused_fisher_lrt_delta,0.75,event_timely_sla_rate,1
corr_mix,all_only,fused_fisher_lrt_delta,1.0,event_timely_sla_rate,1
corr_mix,all_only,fused_fisher_lrt_delta,1.25,event_timely_sla_rate,1
corr_mix,all_only,fused_fisher_lrt_delta,1.5,event_timely_sla_rate,1
corr_mix,all_only,fused_sp,1.25,event_timely_sla_rate,1
corr_mix,all_only,fused_sp,1.5,event_timely_sla_rate,1
corr_mix,all_only,fused_sp_lrt_delta,0.25,event_timely_sla_rate,1
corr_mix,all_only,fused_sp_lrt_delta,0.75,event_timely_sla_rate,1
corr_mix,all_only,fused_sp_lrt_delta,1.0,event_timely_sla_rate,1
corr_mix,all_only,fused_sp_lrt_delta,1.25,event_timely_sla_rate,1
corr_mix,all_only,fused_sp_lrt_delta,1.5,event_timely_sla_rate,1
