kind,panel,detector,paper_strength_policy,attack_strength_selected,attack_strength_selected_is_applicable,budget_target_paper,budget_nominal_selected,matched_mode,matched_budget_band,matched_tol_budget,tiw_cap,matched_tol_tiw,years_eval_median,target_count_nearest,count_band_width,implied_rate_nearest,n_trials_total,n_trials_budget_in_band,n_trials_joint_in_band,n_trials_primary,coverage_budget,coverage_joint,coverage_primary,primary_status,n_trials,detect_rate,detect_rate_null,uplift_detect_rate,event_success_rate,event_timely_sla_rate,event_anywarn_success_rate,event_anywarn_timely_sla_rate,event_preexisting_warning_rate,contract_pass_full_rate,contract_pass_full_anywarn_rate,event_sla_months,median_delay,median_delay_null,delay_p50,delay_p90,delay_null_p50,delay_null_p90,event_delay_p50,event_delay_p90,event_time_to_trigger_p50,event_time_to_trigger_p90,median_delay_uncens,median_delay_null_uncens,mean_false_alarm_months_per_year,mean_false_alert_events_per_year,mean_time_in_warning,mean_p_star,mean_effect_size,mean_fae_null,mean_tiw_null,mean_cad_win,mean_cad_post,mean_dtiw_win,mean_abs_dtiw_win,mean_dtiw_post,nc2_p0,p_hat,p_binom,nc2_pass,nc2_alpha
corr_mix,all_only,T2,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,47,0,47,0.5875,0.0,0.5875,OK,47.0,0.8085106382978723,0.8085106382978723,0.0,1.0,0.6170212765957447,1.0,0.6170212765957447,0.3404255319148936,0.0,0.0,1.0,3.0,3.0,3.0,6.0,3.0,6.0,1.0,3.3999999999999986,3.0,6.0,2.5,2.5,4.705796038151138,1.2413793103448272,0.3921496698459283,0.34519178420712376,0.22606434967248226,1.2413793103448272,0.3921496698459283,0.0,0.0,0.0,0.0,0.0,0.8085106382978723,0.8085106382978723,0.5879047902238413,0.0,0.05
corr_mix,all_only,cusum_factor_cov_lrt,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,80,0,80,1.0,0.0,1.0,OK,80.0,0.55,0.55,0.0,0.75,0.4625,0.75,0.4625,0.25,0.0,0.0,1.0,5.0,5.0,5.0,6.0,5.0,6.0,2.0,6.0,5.0,6.0,2.0,2.0,3.496551724137931,0.9543103448275861,0.29137931034482756,,0.32033419404596924,0.9543103448275861,0.29137931034482756,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.5461606219703808,0.0,0.05
corr_mix,all_only,ewma_factor_cov_lrt,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,0,0,0,0.0,0.0,0.0,INFEASIBLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.05
corr_mix,all_only,factor_cov_change,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,33,0,33,0.4125,0.0,0.4125,OK,33.0,0.8181818181818182,0.8181818181818182,0.0,1.0,0.7575757575757576,1.0,0.7575757575757576,0.42424242424242425,0.0,0.0,1.0,3.0,3.0,3.0,6.0,3.0,6.0,0.0,3.0,3.0,6.0,3.0,3.0,6.33228840125392,1.2413793103448276,0.5276907001044933,0.34519178420712376,0.29191161577589414,1.2413793103448276,0.5276907001044933,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.8181818181818182,0.6068422114372212,0.0,0.05
corr_mix,all_only,factor_cov_delta,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,0,0,0,0.0,0.0,0.0,INFEASIBLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.05
corr_mix,all_only,factor_cov_lrt,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,64,4,64,0.8,0.05,0.8,OK,64.0,0.171875,0.171875,0.0,0.40625,0.25,0.40625,0.25,0.234375,0.0625,0.0625,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,2.6540948275862073,0.8275862068965517,0.22117456896551724,0.11927664452862598,0.2338584444297696,0.8275862068965517,0.22117456896551724,0.0,0.0,0.0,0.0,0.0,0.171875,0.171875,0.551526408798081,0.0,0.05
corr_mix,all_only,factor_cov_lrt_delta,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,0,0,0,0.0,0.0,0.0,INFEASIBLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.05
corr_mix,all_only,fused_fisher,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,35,0,35,0.4375,0.0,0.4375,OK,35.0,0.9142857142857143,0.9142857142857143,0.0,1.0,0.6571428571428571,1.0,0.6571428571428571,0.3142857142857143,0.0,0.0,1.0,3.0,3.0,3.0,5.0,3.0,5.0,0.0,3.0,3.0,5.0,2.0,2.0,5.278817733990149,1.2413793103448274,0.4399014778325124,0.34519178420712376,0.03079740296126161,1.2413793103448274,0.4399014778325124,0.0,0.0,0.0,0.0,0.0,0.9142857142857143,0.9142857142857143,0.6473818314432753,0.0,0.05
corr_mix,all_only,fused_fisher_lrt_delta,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,50,0,50,0.625,0.0,0.625,OK,50.0,0.94,0.94,0.0,1.0,0.58,1.0,0.58,0.16,0.0,0.0,1.0,2.0,2.0,2.0,5.0,2.0,5.0,1.0,4.0,2.0,5.0,2.0,2.0,3.467586206896552,1.2413793103448274,0.2889655172413793,0.2422286106215748,0.27392024937028625,1.2413793103448274,0.2889655172413793,0.0,0.0,0.0,0.0,0.0,0.94,0.94,0.6473033720963304,0.0,0.05
corr_mix,all_only,fused_sp,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,0,0,0,0.0,0.0,0.0,INFEASIBLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.05
