panel,detector,budget,max_events_ratio,max_tiw_ratio,frac_violate_events,frac_violate_tiw,pass_rate,frac_violate_any,n_windows
all_only,T2,0.25,5.333333333333333,3.3333333333333335,1.0,0.6666666666666666,0.0,1.0,3
all_only,T2,0.5,2.6666666666666665,3.3333333333333335,1.0,0.6666666666666666,0.0,1.0,3
all_only,T2,0.75,2.2222222222222223,4.074074074074074,1.0,1.0,0.0,1.0,3
all_only,T2,1.0,1.6666666666666667,4.074074074074074,0.6666666666666666,1.0,0.0,1.0,3
all_only,T2,1.25,1.3333333333333335,4.074074074074074,0.3333333333333333,1.0,0.0,1.0,3
all_only,T2,1.5,1.1111111111111112,4.074074074074074,0.3333333333333333,1.0,0.0,1.0,3
all_only,T2,2.0,0.8333333333333334,4.074074074074074,0.0,1.0,0.0,1.0,3
all_only,cusum_factor_cov_lrt,0.25,5.333333333333333,2.037037037037037,1.0,1.0,0.0,1.0,3
all_only,cusum_factor_cov_lrt,0.5,2.6666666666666665,2.4074074074074074,1.0,1.0,0.0,1.0,3
all_only,cusum_factor_cov_lrt,0.75,1.7777777777777777,3.1481481481481484,1.0,1.0,0.0,1.0,3
all_only,cusum_factor_cov_lrt,1.0,1.3333333333333333,3.1481481481481484,1.0,1.0,0.0,1.0,3
all_only,cusum_factor_cov_lrt,1.25,1.0666666666666667,3.1481481481481484,0.0,1.0,0.0,1.0,3
all_only,cusum_factor_cov_lrt,1.5,0.8888888888888888,3.1481481481481484,0.0,1.0,0.0,1.0,3
all_only,cusum_factor_cov_lrt,2.0,0.6666666666666666,3.1481481481481484,0.0,1.0,0.0,1.0,3
all_only,ewma_factor_cov_lrt,0.25,1.3333333333333333,0.7407407407407407,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,3
all_only,ewma_factor_cov_lrt,0.5,0.6666666666666666,0.925925925925926,0.0,0.0,1.0,0.0,3
all_only,ewma_factor_cov_lrt,0.75,0.8888888888888888,1.2962962962962963,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
all_only,ewma_factor_cov_lrt,1.0,0.6666666666666666,1.2962962962962963,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
all_only,ewma_factor_cov_lrt,1.25,0.5333333333333333,1.2962962962962963,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
all_only,ewma_factor_cov_lrt,1.5,0.4444444444444444,1.2962962962962963,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
all_only,ewma_factor_cov_lrt,2.0,0.3333333333333333,1.2962962962962963,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
all_only,factor_cov_change,0.25,4.0,2.5925925925925926,1.0,1.0,0.0,1.0,3
all_only,factor_cov_change,0.5,3.3333333333333335,4.074074074074074,1.0,1.0,0.0,1.0,3
all_only,factor_cov_change,0.75,2.2222222222222223,4.074074074074074,1.0,1.0,0.0,1.0,3
all_only,factor_cov_change,1.0,1.6666666666666667,4.074074074074074,1.0,1.0,0.0,1.0,3
all_only,factor_cov_change,1.25,1.3333333333333335,4.074074074074074,1.0,1.0,0.0,1.0,3
all_only,factor_cov_change,1.5,1.1111111111111112,4.074074074074074,1.0,1.0,0.0,1.0,3
all_only,factor_cov_change,2.0,0.8333333333333334,4.074074074074074,0.0,1.0,0.0,1.0,3
all_only,factor_cov_delta,0.25,5.333333333333333,2.5925925925925926,1.0,0.6666666666666666,0.0,1.0,3
all_only,factor_cov_delta,0.5,2.6666666666666665,2.5925925925925926,1.0,0.6666666666666666,0.0,1.0,3
all_only,factor_cov_delta,0.75,1.7777777777777777,2.5925925925925926,1.0,0.6666666666666666,0.0,1.0,3
all_only,factor_cov_delta,1.0,2.0,4.074074074074074,1.0,1.0,0.0,1.0,3
all_only,factor_cov_delta,1.25,1.6,4.074074074074074,0.6666666666666666,1.0,0.0,1.0,3
all_only,factor_cov_delta,1.5,1.3333333333333333,4.074074074074074,0.6666666666666666,1.0,0.0,1.0,3
all_only,factor_cov_delta,2.0,1.0,4.074074074074074,0.0,1.0,0.0,1.0,3
all_only,factor_cov_lrt,0.25,1.3333333333333333,0.5555555555555556,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,3
