menu,n_configurations,median_budget_coverage,median_budget_coverage_lower_2_5,median_budget_coverage_upper_97_5,median_joint_coverage,median_joint_coverage_lower_2_5,median_joint_coverage_upper_97_5
full_fixed_19,19,0.6875,0.575,0.7625,0.0,0.0,0.0
fixed_observed_positive_budget_12,12,0.84375,0.8,0.8875,0.025,0.0,0.0625
