drift_start,pass_rate,flip_1_to_0_rate,max_event_ratio_increase_vs_clean
2020,0.543859649122807,0.0175438596491228,0.3333333333333335
2021,0.4561403508771929,0.0526315789473684,0.6666666666666666
2022,0.3333333333333333,0.1929824561403508,1.3333333333333337
