kind,panel,detector,paper_strength_policy,attack_strength_selected,attack_strength_selected_is_applicable,budget_target_paper,budget_nominal_selected,matched_mode,matched_budget_band,matched_tol_budget,tiw_cap,matched_tol_tiw,years_eval_median,target_count_nearest,count_band_width,implied_rate_nearest,n_trials_total,n_trials_budget_in_band,n_trials_joint_in_band,n_trials_primary,coverage_budget,coverage_joint,coverage_primary,primary_status,n_trials,detect_rate,detect_rate_null,uplift_detect_rate,event_success_rate,event_timely_sla_rate,event_anywarn_success_rate,event_anywarn_timely_sla_rate,event_preexisting_warning_rate,contract_pass_full_rate,contract_pass_full_anywarn_rate,event_sla_months,median_delay,median_delay_null,delay_p50,delay_p90,delay_null_p50,delay_null_p90,event_delay_p50,event_delay_p90,event_time_to_trigger_p50,event_time_to_trigger_p90,median_delay_uncens,median_delay_null_uncens,mean_false_alarm_months_per_year,mean_false_alert_events_per_year,mean_time_in_warning,mean_p_star,mean_effect_size,mean_fae_null,mean_tiw_null,mean_cad_win,mean_cad_post,mean_dtiw_win,mean_abs_dtiw_win,mean_dtiw_post,nc2_p0,p_hat,p_binom,nc2_pass,nc2_alpha,row_status,infeasible_reason
corr_mix,full,pc_t2,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.2,0.1,4.833333333333333,5,1,1.0344827586206897,80,59,9,59,0.7375,0.1125,0.7375,OK,59.0,0.05084745762711865,0.05084745762711865,0.0,0.1864406779661017,0.1864406779661017,0.1864406779661017,0.1864406779661017,0.13559322033898305,0.15254237288135594,0.15254237288135594,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,2.949152542372881,0.8275862068965519,0.2457627118644068,0.028651068171376155,0.039394533377462404,0.8275862068965519,0.2457627118644068,0.0,0.0,0.0,0.0,0.0,0.05084745762711865,0.05084745762711865,0.5826645034988444,0.0,0.05,OK,
corr_mix,full,res_energy,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.2,0.1,4.833333333333333,5,1,1.0344827586206897,80,55,8,55,0.6875,0.1,0.6875,OK,55.0,0.03636363636363636,0.03636363636363636,0.0,0.14545454545454545,0.10909090909090909,0.14545454545454545,0.10909090909090909,0.10909090909090909,0.10909090909090909,0.10909090909090909,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.7498432601880882,0.8200626959247653,0.229153605015674,0.021307382697106417,-0.21882553744948732,0.8275862068965522,0.22978056426332288,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.03636363636363636,0.5990071391355357,0.0,0.05,OK,
corr_mix,full,stale,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.2,0.1,4.833333333333333,5,1,1.0344827586206897,80,80,80,80,1.0,1.0,1.0,OK,80.0,0.625,0.6,0.025000000000000022,0.675,0.275,0.675,0.275,0.05,0.225,0.225,1.0,4.0,4.0,4.0,6.0,4.0,6.0,3.5,6.0,4.0,6.0,2.5,2.0,1.5594827586206896,1.068103448275862,0.12995689655172413,0.24401328604768396,0.4625,1.1043103448275864,0.13857758620689656,0.07708333333333332,0.06329113924050633,0.07291666666666667,0.07291666666666667,-0.02953586497890295,0.6,0.625,0.3687267482580484,0.0,0.05,OK,
corr_mix,score_only,T2,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.2,0.1,4.833333333333333,5,1,1.0344827586206897,80,80,10,80,1.0,0.125,1.0,OK,80.0,0.25,0.3625,-0.11249999999999999,0.4,0.25,0.4,0.25,0.1625,0.1125,0.1125,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.5,3.0,3.0129310344827585,0.8922413793103449,0.2510775862068966,0.02884480985870374,0.24709943767164605,0.9387931034482758,0.25495689655172415,0.01875,0.008438818565400843,-0.01875,0.01875,-0.008438818565400843,0.3625,0.25,0.9882336446539776,0.0,0.05,OK,
corr_mix,score_only,coh_resid_energy,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.2,0.1,4.833333333333333,5,1,1.0344827586206897,80,80,40,80,1.0,0.5,1.0,OK,80.0,0.375,0.375,0.0,0.5,0.275,0.5,0.275,0.1625,0.275,0.275,1.0,6.0,6.0,6.0,6.0,6.0,6.0,5.5,6.0,6.0,6.0,3.0,3.0,2.4387931034482757,0.9129310344827587,0.20323275862068968,0.011801411943764216,0.1830354690866514,0.9387931034482758,0.20538793103448275,0.0,0.0,0.0,0.0,0.0,0.375,0.375,0.5421239857718287,0.0,0.05,OK,
corr_mix,score_only,coh_resid_t2,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.2,0.1,4.833333333333333,5,1,1.0344827586206897,80,80,12,80,1.0,0.15,1.0,OK,80.0,0.525,0.525,0.0,0.625,0.3,0.625,0.3,0.15,0.05,0.05,1.0,5.0,5.0,5.0,6.0,5.0,6.0,3.0,6.0,5.0,6.0,3.0,3.0,2.989655172413793,1.0887931034482758,0.24913793103448273,0.04108114790541295,0.28235208729053934,1.1379310344827587,0.25323275862068967,0.03958333333333333,0.008438818565400843,0.03958333333333333,0.03958333333333333,-0.008438818565400843,0.525,0.525,0.5452537357931699,0.0,0.05,OK,
corr_mix,score_only,cusum_coh_resid_t2,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.2,0.1,4.833333333333333,5,1,1.0344827586206897,80,38,19,38,0.475,0.2375,0.475,OK,38.0,0.7368421052631579,0.47368421052631576,0.2631578947368421,0.7631578947368421,0.42105263157894735,0.7631578947368421,0.42105263157894735,0.10526315789473684,0.13157894736842105,0.13157894736842105,1.0,3.0,6.0,3.0,6.0,6.0,6.0,2.0,6.0,3.0,6.0,2.0,2.0,2.7059891107078036,1.0508166969147006,0.2254990925589837,NA,-0.03678278179370333,1.0508166969147006,0.2254990925589837,0.04824561403508772,0.0,0.04824561403508772,0.04824561403508772,0.0,0.47368421052631576,0.7368421052631579,0.0008963802538985005,1.0,0.05,OK,
corr_mix,score_only,cusum_factor_cov_lrt,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.2,0.1,4.833333333333333,5,1,1.0344827586206897,80,77,0,77,0.9625,0.0,0.9625,OK,77.0,0.5194805194805194,0.5194805194805194,0.0,0.9090909090909091,0.6493506493506493,0.9090909090909091,0.6493506493506493,0.42857142857142855,0.0,0.0,1.0,5.0,5.0,5.0,6.0,5.0,6.0,0.0,5.0,5.0,6.0,2.0,2.0,5.013882669055082,1.1500223914017016,0.4178235557545902,NA,0.3190214173950711,1.1500223914017016,0.4171518137035378,0.006493506493506494,0.013157894736842105,-0.0064935064935064965,0.0064935064935064965,0.013157894736842105,0.5194805194805194,0.5194805194805194,0.5459333243778701,0.0,0.05,OK,
corr_mix,score_only,ewma_coh_resid_t2,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.2,0.1,4.833333333333333,5,1,1.0344827586206897,80,80,0,80,1.0,0.0,1.0,OK,80.0,0.4125,0.4125,0.0,0.5625,0.35,0.5625,0.35,0.2,0.0,0.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,2.0,2.0,3.7758620689655173,0.949137931034483,0.3146551724137931,0.03212338050093244,0.4242193206969979,0.9594827586206897,0.3165948275862069,0.0,0.0,0.0,0.0,0.0,0.4125,0.4125,0.5425478392637572,0.0,0.05,OK,
corr_mix,score_only,ewma_factor_cov_lrt,INFEASIBLE,0.5,INFEASIBLE,1.0,INFEASIBLE,budget_only,count,0.1,INFEASIBLE,INFEASIBLE,INFEASIBLE,5,1,1.0344827586206897,80,INFEASIBLE,INFEASIBLE,0,INFEASIBLE,INFEASIBLE,0.0,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,no_trials_in_matched_band
