slice,drift_delta,drift_mode,drift_scope,online_recal,n_rows,pass_rate_mean,events_ratio_p95,events_ratio_p99,max_events_ratio_overall,tiw_ratio_p95,tiw_ratio_p99,max_tiw_ratio_overall,clean_pass_rate_mean,pass_rate_delta_vs_clean,flip_1to0_rate,flip_0to1_rate,max_events_ratio_delta_vs_clean
score_only_budget_ge_0p75,0.0,noise_ar1,score_all,1,798,0.6954887218045113,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.0512820512820515,3.2051282051282053,3.2051282051282053,0.6954887218045113,0.0,0.0,0.0,0.0
score_only_budget_ge_0p75,0.25,noise_ar1,score_all,1,798,0.6691729323308271,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.743589743589732,3.3333333333333335,3.3333333333333335,0.6954887218045113,-0.02631578947368418,0.11278195488721804,0.08646616541353383,1.0
score_only_budget_ge_0p75,0.5,noise_ar1,score_all,1,798,0.6867167919799498,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.6709401709401572,3.3333333333333335,3.3333333333333335,0.6954887218045113,-0.00877192982456143,0.11152882205513784,0.10275689223057644,1.0
score_only_budget_ge_0p75,0.75,noise_ar1,score_all,1,798,0.7017543859649122,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.7799145299145192,3.3333333333333335,3.3333333333333335,0.6954887218045113,0.006265664160400974,0.11654135338345864,0.12280701754385964,1.0
score_only_budget_ge_0p75,1.0,noise_ar1,score_all,1,798,0.6741854636591479,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.6709401709401572,3.3333333333333335,3.3333333333333335,0.6954887218045113,-0.02130325814536338,0.14035087719298245,0.11904761904761904,1.0
