kind,panel,detector,paper_strength_policy,attack_strength_selected,attack_strength_selected_is_applicable,budget_target_paper,budget_nominal_selected,matched_mode,matched_budget_band,matched_tol_budget,tiw_cap,matched_tol_tiw,years_eval_median,target_count_nearest,count_band_width,implied_rate_nearest,n_trials_total,n_trials_budget_in_band,n_trials_joint_in_band,n_trials_primary,coverage_budget,coverage_joint,coverage_primary,primary_status,n_trials,detect_rate,detect_rate_null,uplift_detect_rate,event_success_rate,event_timely_sla_rate,event_anywarn_success_rate,event_anywarn_timely_sla_rate,event_preexisting_warning_rate,contract_pass_full_rate,contract_pass_full_anywarn_rate,event_sla_months,median_delay,median_delay_null,delay_p50,delay_p90,delay_null_p50,delay_null_p90,event_delay_p50,event_delay_p90,event_time_to_trigger_p50,event_time_to_trigger_p90,median_delay_uncens,median_delay_null_uncens,mean_false_alarm_months_per_year,mean_false_alert_events_per_year,mean_time_in_warning,mean_p_star,mean_effect_size,mean_fae_null,mean_tiw_null,mean_cad_win,mean_cad_post,mean_dtiw_win,mean_abs_dtiw_win,mean_dtiw_post,nc2_p0,p_hat,p_binom,nc2_pass,nc2_alpha
corr_mix,full,stale,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,53,5,53,0.6625,0.0625,0.6625,OK,53.0,0.39622641509433965,0.16981132075471697,0.22641509433962267,0.5471698113207547,0.16981132075471697,0.5471698113207547,0.16981132075471697,0.1509433962264151,0.03773584905660377,0.03773584905660377,1.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,3.0,3.0,2.439817826935589,0.8041639557579703,0.20331815224463237,0.38094473238117654,0.39622641509433965,0.827586206896552,0.2075471698113207,0.0880503144654088,0.08333333333333333,0.08176100628930817,0.08176100628930817,-0.08333333333333333,0.16981132075471697,0.39622641509433965,7.827411712686032e-05,1.0,0.05
corr_mix,score_only,T2,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,52,0,52,0.65,0.0,0.65,OK,52.0,0.019230769230769232,0.019230769230769232,0.0,0.07692307692307693,0.057692307692307696,0.07692307692307693,0.057692307692307696,0.057692307692307696,0.0,0.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.8607427055702925,0.827586206896552,0.23839522546419098,0.004218040779909174,0.10336959817379283,0.827586206896552,0.23872679045092837,0.0,0.0065359477124183,0.0,0.0,-0.0065359477124183,0.019230769230769232,0.019230769230769232,0.6356864804310475,0.0,0.05
corr_mix,score_only,coh_resid_energy,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,80,14,80,1.0,0.175,1.0,OK,80.0,0.4375,0.4375,0.0,0.5,0.2625,0.5,0.2625,0.075,0.175,0.175,1.0,6.0,6.0,6.0,6.0,6.0,6.0,5.5,6.0,6.0,6.0,2.0,2.0,2.200862068965517,0.9206896551724139,0.18340517241379312,0.005812958848677469,0.1830354690866514,0.946551724137931,0.1872844827586207,0.0,0.0,0.0,0.0,0.0,0.4375,0.4375,0.5429641529994575,0.0,0.05
corr_mix,score_only,coh_resid_t2,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,80,7,80,1.0,0.0875,1.0,OK,80.0,0.3875,0.3875,0.0,0.4625,0.2875,0.4625,0.2875,0.15,0.0875,0.0875,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.6431034482758626,0.9413793103448278,0.22025862068965515,0.0090853358852878,0.28235208729053934,0.9543103448275861,0.22133620689655173,0.0,0.0,0.0,0.0,0.0,0.3875,0.3875,0.5422378216113113,0.0,0.05
corr_mix,score_only,cusum_coh_resid_t2,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,38,0,38,0.475,0.0,0.475,OK,38.0,0.7368421052631579,0.47368421052631576,0.2631578947368421,0.7631578947368421,0.42105263157894735,0.7631578947368421,0.42105263157894735,0.10526315789473684,0.0,0.0,1.0,3.0,6.0,3.0,6.0,6.0,6.0,2.0,6.0,3.0,6.0,2.0,2.0,2.7059891107078036,1.0508166969147006,0.2254990925589837,,-0.03678278179370333,1.0508166969147006,0.2254990925589837,0.04824561403508772,0.0,0.04824561403508772,0.04824561403508772,0.0,0.47368421052631576,0.7368421052631579,0.0008963802538985005,1.0,0.05
corr_mix,score_only,cusum_factor_cov_lrt,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,77,0,77,0.9625,0.0,0.9625,OK,77.0,0.5194805194805194,0.5194805194805194,0.0,0.9090909090909091,0.6493506493506493,0.9090909090909091,0.6493506493506493,0.42857142857142855,0.0,0.0,1.0,5.0,5.0,5.0,6.0,5.0,6.0,0.0,5.0,5.0,6.0,2.0,2.0,5.013882669055082,1.1500223914017016,0.4178235557545902,,0.3190214173950711,1.1500223914017016,0.4171518137035378,0.006493506493506494,0.013157894736842105,-0.0064935064935064965,0.0064935064935064965,0.013157894736842105,0.5194805194805194,0.5194805194805194,0.5459333243778701,0.0,0.05
corr_mix,score_only,ewma_coh_resid_t2,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,80,0,80,1.0,0.0,1.0,OK,80.0,0.425,0.4125,0.012500000000000011,0.5,0.2875,0.5,0.2875,0.125,0.0,0.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,5.5,6.0,6.0,6.0,2.0,2.0,3.0517241379310343,0.9413793103448278,0.2543103448275862,0.0074045382994429605,0.4242193206969979,0.9543103448275861,0.2538793103448276,0.020833333333333332,0.012658227848101266,0.020833333333333332,0.020833333333333332,0.012658227848101266,0.4125,0.425,0.45223804260901773,0.0,0.05
corr_mix,score_only,ewma_factor_cov_lrt,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,0,0,0,0.0,0.0,0.0,INFEASIBLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.05
corr_mix,score_only,factor_cov_change,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,0,0,0,0.0,0.0,0.0,INFEASIBLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.05
corr_mix,score_only,factor_cov_delta,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.15,0.1,4.833333333333333,5,1,1.0344827586206897,80,0,0,0,0.0,0.0,0.0,INFEASIBLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.05
